TREAT,PHYLA,ABUND
Sonicated,k__Archaea;p__Crenarchaeota,22
Sonicated,k__Bacteria;__,158
Sonicated,k__Bacteria;p__Acidobacteria,257
Sonicated,k__Bacteria;p__Actinobacteria,1442
Sonicated,k__Bacteria;p__Armatimonadetes,8
Sonicated,k__Bacteria;p__BRC1,30
Sonicated,k__Bacteria;p__Bacteroidetes,2373
Sonicated,k__Bacteria;p__Chlamydiae,71
Sonicated,k__Bacteria;p__Chlorobi,0
Sonicated,k__Bacteria;p__Chloroflexi,569
Sonicated,k__Bacteria;p__Elusimicrobia,0
Sonicated,k__Bacteria;p__Firmicutes,478
Sonicated,k__Bacteria;p__Fusobacteria,0
Sonicated,k__Bacteria;p__Gemmatimonadetes,28
Sonicated,k__Bacteria;p__OD1,4
Sonicated,k__Bacteria;p__OP11,6
Sonicated,k__Bacteria;p__Planctomycetes,812
Sonicated,k__Bacteria;p__Proteobacteria,6644
Sonicated,k__Bacteria;p__Verrucomicrobia,189
Sonicated,k__Bacteria;p__WS2,108
Sonicated,k__Archaea;p__Crenarchaeota,0
Sonicated,k__Bacteria;__,144
Sonicated,k__Bacteria;p__Acidobacteria,179
Sonicated,k__Bacteria;p__Actinobacteria,878
Sonicated,k__Bacteria;p__Armatimonadetes,0
Sonicated,k__Bacteria;p__BRC1,0
Sonicated,k__Bacteria;p__Bacteroidetes,2930
Sonicated,k__Bacteria;p__Chlamydiae,23
Sonicated,k__Bacteria;p__Chlorobi,16
Sonicated,k__Bacteria;p__Chloroflexi,244
Sonicated,k__Bacteria;p__Elusimicrobia,0
Sonicated,k__Bacteria;p__Firmicutes,410
Sonicated,k__Bacteria;p__Fusobacteria,0
Sonicated,k__Bacteria;p__Gemmatimonadetes,35
Sonicated,k__Bacteria;p__OD1,0
Sonicated,k__Bacteria;p__OP11,0
Sonicated,k__Bacteria;p__Planctomycetes,486
Sonicated,k__Bacteria;p__Proteobacteria,5849
Sonicated,k__Bacteria;p__Verrucomicrobia,113
Sonicated,k__Bacteria;p__WS2,36
Sonicated,k__Archaea;p__Crenarchaeota,0
Sonicated,k__Bacteria;__,246
Sonicated,k__Bacteria;p__Acidobacteria,181
Sonicated,k__Bacteria;p__Actinobacteria,1523
Sonicated,k__Bacteria;p__Armatimonadetes,25
Sonicated,k__Bacteria;p__BRC1,8
Sonicated,k__Bacteria;p__Bacteroidetes,2472
