OVIPMONTH,OVIPDAY,OVIPYEAR,LABEL,CAGE,TIME,ID,TREAT,TREAT1,COUNT,CHANGE,EMASS,SURV,
6,22,2022,9A,9,A,189-1,Control (Water),Control (Water) A,162,-3.086419753,0.1654,N,
6,22,2022,9B,9,B,189-1,Control (Water),Control (Water) B,157,,,,
6,22,2022,20A,20,A,178-1,Control,Control A,26,126.9230769,0.143,N,
6,22,2022,20B,20,B,178-1,Control,Control B,59,,,,
6,22,2022,17-1A,17,A,182-1,Control,Control A,85,-70.58823529,0.1836,Y,
6,22,2022,17-1B,17,B,182-1,Control,Control B,25,,,,
6,22,2022,17-2A,17,A,183-2,Control (Water),Control (Water) A,464,-65.94827586,0.1809,N,
6,22,2022,17-2B,17,B,183-2,Control (Water),Control (Water) B,158,,,,
6,22,2022,18-1A,18,A,180-1,Control,Control A,291,-90.72164948,0.1529,N,
6,22,2022,18-1B,18,B,180-1,Control,Control B,27,,,,
6,22,2022,19A,19,A,179-1,Control (Water),Control (Water) A,198,-8.585858586,0.1388,Y,
6,22,2022,19B,19,B,179-1,Control (Water),Control (Water) B,181,,,,
6,22,2022,15A,15,A,185-1,Control,Control A,226,-91.15044248,0.1805,Y,
6,22,2022,15B,15,B,185-1,Control,Control B,20,,,,
6,22,2022,12A,12,A,188-1,Control,Control A,36,-13.88888889,0.1518,N,
6,22,2022,12B,12,B,188-1,Control,Control B,31,,,,
6,24,2022,23-1A,23,A,197-1,Control,Control A,205,-81.46341463,0.1644,Y,
6,24,2022,23-1B,23,B,197-1,Control,Control B,38,,,,
6,24,2022,16A,16,A,201-1,Control,Control A,593,-86.17200675,0.1828,Y,
6,24,2022,16B,16,B,201-1,Control,Control B,82,,,,
6,24,2022,8A,8,A,205-1,Control,Control A,616,-94.15584416,0.14,N,
6,24,2022,8B,8,B,205-1,Control,Control B,36,,,,
6,24,2022,21A,21,A,200-1,TSB,TSB A,234,343.5897436,0.1306,Y,
6,24,2022,21B,21,B,200-1,TSB,TSB B,1038,,,,Too numerous to count
6,24,2022,15A,15,A,202-1,Control (Water),Control (Water) A,516,-15.89147287,0.2183,Y,
